english,japanese,pos,en_sentence,jp_sentence
confidence,自信,名詞,Tom lacks confidence in himself.,トムは自分に自信がない。
confident,自信のある,形容詞,We are firmly confident of victory.,我々は勝利をかたく確信している。
confirm,確認する,動詞,We will confirm your order as follows.,ご注文を下記の通り確認します。
conflict,矛盾する；衝突する,動詞,Your behavior is in conflict with your principles.,君の行動は君の信条と矛盾している。
consequence,結果,名詞,It is of little consequence to me.,それは私にはほとんど取るに足らない。
consequently,その結果として,副詞,"It rained heavily, and consequently the baseball game was called off.",雨が激しく降った、その結果、野球の試合は中止になった。
conservative,保守的な,形容詞,"On the whole, the older a man grows, the more conservative he becomes.",概して、年をとるとますます保守的になります。
considerable,かなりの,形容詞,"To Brian's surprise, his debt amounted to a considerable sum.",ブライアンが驚いた事に、借金はかなりの額になっていた。
consist,～から成り立つ,動詞,Education does not consist simply in learning a lot of facts.,教育は単に多くの事実を学ぶことにあるわけでない。
consistent,一貫した；一致した,形容詞,Your principles are not consistent with your actions.,君の信条は行為と一致していない。
constitute,構成する,動詞,These things constitute a balanced meal.,これらのものがバランスのとれた食事を構成する。
constraint,制約,名詞,There are few legal constraints on the sale of firearms in the U.S.,合衆国には小火器の販売に関する法律上の制約はほとんどない。
construct,組み立てる；建てる,動詞,After reading his books I feel I can construct a house.,彼の本を読んだ後、家を建てることができるような気がした。
construction,構造；建造,名詞,Mark was a work horse on his construction crew.,マークは建設班の中では働き者だった。
consult,相談する；調べる,動詞,You'd better consult the doctor.,君は医者にみてもらったほうがよい。
consultant,コンサルタント ；顧問,名詞,The debate over which consultant to use went on for hours.,どのコンサルタントを使うかと言う議論が何時間も続いた。
consume,消費する,動詞,Zeal for your house will consume me.,あなたの家を思う熱心が、わたしを食い尽くす。
consumer,消費者,名詞,The consumer price index has been fluctuating wildly.,消費者物価指数は激しく変動しています。
contemporary,現代の；同時期に起こる,名詞,The professor is familiar with contemporary literature.,その教授は現代文学に詳しい。
content,内容;  中身,名詞,Robert is content with his present position.,ロバートは現在の地位に満足している。
contest,競争，争う,名詞,We will have a music contest soon.,まもなく音楽コンクールがあります。
context,文脈；状況,名詞,The meaning of a word is determined by the context where it is used.,単語の意味はそれが使われている文脈で決まる。
contrast,対照させる,動詞,The contrast between the sky and the mountain is striking.,空と山の対比が鮮烈だ。
controversial,物議を醸す,形容詞,We sided with him in the controversy.,その論争で我々は彼に味方した。
convention,大会；慣習；条約,名詞,There was a convention last month.,先月、集会があった。
conventional,従来の,形容詞,Plastics have taken the place of many conventional materials.,プラスチックが従来の多くの材料に取って代わった。
convert,変換する,動詞,You must convert dollars into the local currency.,ドルは現地通貨に交換しなければなりません。
cooperation,協力,名詞,Such international cooperation produced great results.,そのような国際協力が素晴らしい成果を挙げた。
core,中核部；髄,名詞,This is the core of the problem.,これがその問題の核心である。
corporate,法人組織の；団体の,形容詞,The deterioration of corporate earnings has yet to bottom out.,企業収益の悪化はまだ底を打っていない。
corporation,法人；会社,名詞,The corporation set up a dummy company.,その企業はトンネル会社を設立しました。
correspond,対応する;  一致する,動詞,You should make your ideas correspond with reality.,君は考えを現実と一致させるべきだ。
counsel,助言；弁護士,名詞,Take counsel with a man who is wise and of a good conscience.,賢明で良心的な人に助言を求めなさい。
craft,工芸品,動詞,We must hand down our craft to posterity.,我々は技術を後世に伝えなければならない。
crew,乗組員,名詞,A student with a crew cut was sitting in the front seat.,一人のクルーカットの学生がバスの前方の座席に座っていた。
crisis,危機,名詞 ,There will be an energy crisis in the near future.,近い将来エネルギー危機が起こるだろう。
criterion,基準,名詞,What criterion did you use when you elected this essay as the winner?,この評論を優勝作品に選んだ基準は何ですか。
critic,評論家,名詞,That young critic is in high demand in a lot of places.,あの若い評論家はあちこちで引っ張りだこである。
critical,重大な；危機の,形容詞,You are too critical of others' shortcomings.,君は他人のあらさがしをしすぎるよ。
criticism,批判,名詞,The brunt of criticism was borne by the chairmen.,議長が批判の矢面に立った。
criticize,批判する,動詞,Don't take it amiss if I criticize your work.,君の仕事に文句をつけても気を悪くしないでくれ。
crop,作物,名詞,We will crop the field with cotton this year.,我々はその畑に今年は綿を植え付けるつもりだ。
crucial,決定的な,形容詞,My courage failed me at the crucial moment.,いざとなったら勇気が無くなった。
currency,通貨,名詞,The exchange rates for foreign currency change daily.,外貨の為替レートは毎日変わる。
curtain,カーテン,名詞,I'll open the curtain for you to look out.,外が見れるように、カーテンを開けてあげるね。
curve,曲線，曲がり,名詞,The curve extends from point A to point B.,カーブはＡ地点からＢ地点にまでわたっている。
custom,習慣,名詞,It is our custom to take off our shoes when we enter the house.,家に入るときは靴を脱ぐのが私たちの習慣です。
cycle,周期；循環，循環する,名詞,We can clearly see the cycle of the seasons in Canada.,カナダでは季節の循環がはっきり見られます。
damn,ちくしょう，すごく,副詞,I'd do any damn thing for you.,君のためならどんなことでもするよ。
data,データ,名詞 ,The data to be discussed below was collected in the following way.,以下で議論されるデータは次の方法で収集された。
database,データベース,名詞,Please change your database to reflect the new address as follows.,貴社のデータベースにある私どもの住所を、下記新住所に変更してください。
debate,討論,名詞,The debate over which consultant to use went on for hours.,どのコンサルタントを使うかと言う議論が何時間も続いた。
decade,10年,名詞,I lost my son about a decade ago.,私は息子を約十年前に亡くした。
declare,発表する,動詞,I hereby declare the opening of the Olympic Games.,ここにオリンピック大会の開会を宣言します。
decline,断る,動詞,There was a rapid decline in stock prices.,株価の急激な下落があった。
decrease,減る，減少する,動詞,This medicine will decrease your pain.,この薬を飲めば痛みは軽くなるでしょう。
dedicate,捧げる；専念する,動詞,"Once I retire, I will dedicate all my time to Tatoeba.",退職した暁には全ての時間をタトエバに捧げよう。
defeat,敗北，負かす,動詞,The chances of victory or defeat are even.,勝ち負けの確率は五分五分だ。
defend,守る,動詞,We have to defend our country from the foreign aggression.,我が国を他国の侵略から守らねばならない。
deficit,赤字；不足,名詞,How huge a deficit can the nation stand?,どのくらい莫大な赤字に国家は耐えられるのだろうか。
define,定義する,動詞,"If I had to define life in a word, it would be: Life is creation.",もしも私が一言にして生命の定義を下さなければならないとするならば、生命とは創造であるということである。
definition,定義,名詞,Look up the definition of 'guy' in your dictionary.,君の辞書で‘ｇｕｙ’の語義を調べなさい。
delay,遅らせる，遅延,動詞,I apologize for the delay in sending the agenda.,議事事項を送るのが遅れたことをお詫びします。
democracy,民主主義 ,名詞,When did democracy come into existence?,いつ民主主義は生まれましたか。
democratic,民主的な,形容詞,Introducing democratic ideas into that country will be a slow process.,その国へ民主的な考えを導入するには時間がかかるだろう。
demonstrate,証明する；実証する,動詞,"I don't know how to demonstrate it, since it's too obvious!",こんなに明らかなことをわざわざどうやって説明したらいいのか分からない。
demonstration,証明；実証,名詞,Can you demonstrate one more time?,もう一回見せてもらえるか？
density,密度,名詞,What's the country with the highest population density in the world?,世界で一番人口が密集している国はどこですか？
deposit,保証金,名詞,Some people do not like to deposit their money in banks.,銀行に預けるのが嫌いな人もいる。
derive,引き出す,動詞,We derive further pleasure from our study.,我々は勉強からさらに楽しみを引き出す。
description,記述；説明；描写,名詞,We need a detailed description of what happened.,何が起きたのか詳しく知りたい。
despite,〜にもかかわらず,前置詞,He remained poor despite being a hard worker.,一生懸命働いたが、彼は相変わらず貧乏であった。
destruction,破壊,名詞,The destruction of the environment is appalling.,環境破壊は驚くほどすすんでいる。
device,装置；デバイス,名詞,The device is attached fast to the ceiling.,その装置は天井にしっかりと固定されている。
devote,ささげる；当てる,動詞,I intend to devote a few hours a day to the study of English.,私は英語の勉強に一日に数時間を使うつもりである。
dialog,対話,名詞,dialog box,ダイアログボックス
differ,異なる,動詞,We differ from them in some respects.,われわれはいくつかの点で彼らと違う。
digital,デジタルの,形容詞,We heard about your company from Mr Morris of Digital Com Company.,デジタルコム社のモリス氏より貴社について伺いました。
dimension,寸法；面積；局面,名詞,That adds a new dimension to our problem.,そのことが我々が抱える問題に新しい面を加える。
disagree,反対する,動詞,"I beg to differ, as I disagree with your analysis of the situation.",君と違ってその状況分析には賛成できないよ。
disaster,災害,名詞,The earthquake which caused the disaster occurred in 1995.,その災害を起こした地震は１９９５年に発生した。
discount,割引，割り引く,名詞,Honesty seems to be rather at a discount today.,近頃は正直が軽んじられているようだ。
disk,ディスク,名詞,It looks like your hard disk is fragmented.,ハードが断片化を起こしてるみたい。
dismiss,解雇する；却下する,動詞,"First of all, we must dismiss him.",まず第一に彼を解雇しなければならない。
disorder,無秩序；疾患；障害,名詞,There were no signs of disorder in the ship.,船内には混乱のあとは少しもなかった。
display,表示する；展示する，表示；展示,動詞,The author doesn't display much talent in his book.,その筆者は本の中で、たいした才能を発揮していない。
dispute,論争；紛争，論争する,名詞,The countries concerned settled the dispute by peaceful means.,関係諸国は平和的手段で紛争を解決した。
distant,遠い,形容詞,We can see distant objects with a telescope.,遠くの物が望遠鏡で見える。
distinct,はっきりした；明白な,形容詞,Your way of thinking is quite distinct from mine.,君の考えは僕の考えとまるで違う。
distinction,区別；差異,名詞,The distinction in usage between the two words is clear.,その２語の用法の区別は明瞭である。
distinguish,区別する,動詞,You should distinguish between right and wrong.,君は善悪の区別をつけるべきだ。
distribute,分配する,動詞,We would like to distribute your product in Japan.,貴社の製品を日本で販売させていただきたく思います。
diversity,多様性,名詞,Existing legislation does not take diversity of races into account.,現行の法律は人種の多様性を考慮していない。
division,分割；部門,名詞,The division picnic is this Saturday at the park.,部の野外パーティーは今度の土曜日に公園で行います。
document,文書,名詞,The document was distributed to all department heads.,その文書は全ての部長に配布された。
domestic,国内の,形容詞,Smoking is now banned on all domestic plane flights.,喫煙は今では、全ての国内線のフライトで禁止されている。
dominate,支配する,動詞,She dominates her husband.,彼女は夫を尻に敷いている。
draft,下書き；草案，原稿を書く；下書きをする,名詞,The committee approved the draft budget.,委員会は予算案を承認した。
eastern,東方の,形容詞,We lack an incentive for pursuing the eastern market.,我々は東部市場を開拓しようと言う気持ちが欠けている。
edition,版,名詞,A revised edition of the encyclopedia was published.,その百科事典の改訂版が出版された。
effective,効果的な,形容詞,We have yet to discover an effective remedy for cancer.,癌の効果的な治療法はまだ発見されていない。
effectively,効果的に,副詞,This would enable us to compete more effectively with other agencies.,この条件を受けていただけると、他社との競合が有利になります。
efficiency,効率,名詞,Everyone strives for efficiency but few seem to attain it.,誰もが能率を上げるよう努力するが、ほとんどの人がそうできないようだ。
efficient,効率的な；有能な,形容詞,It is hard to imagine a more efficient way of catching food.,食物を取るのにこれ以上効果的なやり方は想像できないほどなのである。
electronic,電子の,形容詞,The use of electronic computers is growing rapidly.,コンピューターの使用は急速に増加しつつある。
element,要素,名詞,Hard work is the main element of success.,勤勉は成功のための重要な要素だ。
eliminate,排除する,動詞,We tried to eliminate all danger beforehand.,我々はあらかじめすべての危険を除去しようとした。
embrace,受け入れる；囲む；抱擁する,名詞,Embrace me.,ぎゅーして。
emerge,出現する,動詞,Japan is still struggling to emerge from recession.,日本は今も景気後退から立ち直ろうと努力を続けている。
emergency,緊急事態,名詞,What is the emergency telephone number?,緊急連絡先は何番ですか。
emphasis,強調,名詞 ,We should not place too much emphasis on money.,金銭を重視しすぎてはいけない。
emphasize,強調する,動詞,You should emphasize that fact.,君はその事実を重視すべきだ。
enable,可能にする,動詞,This bird's large wings enable it to fly very fast.,この鳥には大きな羽があるので、たいへん速く飛べる。
encounter,出会う，出会い,動詞,She gave me a humorous account of her encounter with him.,彼女が彼との出会いを面白く話してくれた。
enhance,高める；強化する,動詞,"If you have a good garden, it will enhance the value of your house.",よい庭がついていれば家の価値を高めるでしょう。
ensure,保証する；確保する,動詞,This medicine will ensure you a good night's sleep.,この葉を飲めばきっと一晩ぐっすり眠れるでしょう。
enterprise,企業； 事業； 企て,名詞,The enterprise was doomed to failure.,その事業は失敗する運命にあった。
entitle,資格をあたえる; 題名をつける,動詞,He is entitled to better treatment.,彼はもっとよい待遇を受ける権利がある。
entrance,入り口；入場,名詞,"To her joy, she passed the entrance examination.",嬉しいことに、彼女は入試に合格した。
entry,入場,名詞,The entry words are arranged alphabetically.,見出し語はアルファベット順に並んでいます。
episode,エピソード；出来事,名詞,"Seriously though, episode 21 made me almost cry while laughing.",でもほんとに、エピソード21には涙が出るほど笑ったよ。
equation,方程式,名詞,The boy solved the simultaneous equation with ease.,その少年は連立方程式を楽に解いた。
equivalent,同等の；相当する，同等物,形容詞,That Japanese word has no equivalent in English.,その日本語に対応する英語はない。
era,時代,名詞,We are in the era of atomic energy.,我々は今や原子力時代にある。
error,エラー；誤り,名詞,An error was made.,間違いがありました。
essay,小論文; エッセイ,名詞,What criterion did you use when you elected this essay as the winner?,この評論を優勝作品に選んだ基準は何ですか。
essential,不可欠な；本質的な,形容詞,Diligence is essential to success in life.,勤勉は人生の成功に不可欠である。
estimate,見積もり,名詞,Try to estimate how much you spent on books.,君がどれだけ本に使ったか計算して見てください。
ethnic,民族的な,形容詞,These foods are associated with ethnic groups.,これらの食べ物は、さまざまな民族の集団を連想させる。
evaluate,評価する,動詞,There are many things which we cannot evaluate in terms of money.,金銭に換算できないものが数多くある。
evaluation,評価,名詞,It's difficult to evaluate his ability.,彼の、能力を評価することは、難しい。
evolution,進化,名詞,The evolution of dinosaurs interests me greatly.,私は恐竜の進化にとても興味を持っている。
evolve,進化する； 発展する,動詞,The threat increases; a defence that doesn't evolve is meaningless.,脅威は変化し続ける、進化できない防御は意味がない。
exceed,超える,動詞,The length of the article is not to exceed 1000 words.,記事の長さは１０００語を超えてはならない。
exception,例外,名詞,We will make an exception of your case.,君の場合は例外としよう。
excess,過剰，過度の,名詞,The load of the truck was in excess of three tons.,そのトラックの積み荷は三トンを超えていた。
exclude,除外する,動詞,We cannot exclude feeling from our experience.,我々は経験から感情を閉め出すことはない。
executive,幹部,名詞,This was an executive decision.,これは経営者の決定だ。
exhibit,展示する；表す,動詞,They are going to exhibit many famous old paintings at the gallery.,その画廊では多くの古い名画を展示することになっている。
exhibition,展示；展覧会,名詞,You can see the large exhibition at the department store anytime.,デパートではいつでも大きな展覧会を見られる。
expand,拡大する,動詞,People want more money to expand educational institutions.,教育施設を拡充する金をもっと多くと望んでいる。
expansion,拡大,名詞,The expansion is aging.,拡大経済は老化している。
expenditure,支出；費用,名詞,We should strike a balance between our expenditure and income.,我々は出費と収入の間で均衡をはかるべきだ。
experiment,実験,名詞,We found the failure of the experiment at the last moment.,終わり際になってその実験は失敗であると気づいた。
experimental,実験的な,形容詞,There must be a defect in the experimental method.,実験方法に欠陥があるに違いない。
expert,専門家,名詞,The best thing to do is to ask an expert to repair it.,一番良いことは専門家にしてもらうことだ。
explore,探索する,動詞,We want to explore an underwater oil field.,海底油田の開発をしたい。
export,輸出する,動詞,We import raw materials and export the finished products.,我々は原材料を輸入して、製品を輸出している。
extension,時間延長,名詞,The extension of the summer vacation delighted the children.,夏休みが延びたので子供達は喜んだ。
extensive,広い,形容詞,The flood did the village extensive damage.,洪水が村に大きな被害を与えた。
extent,範囲；広がり,名詞,We often fail to realize the extent to which we depend on others.,我々はしばしば、どの程度まで他人に依存しているか、気づかないことがある。
external,外部の,形容詞,Save it on the external hard drive.,外付けのハードディスクに保存しといて。
extract,引き出す；抽出する,名詞,Oil is extracted from olives.,オリーブの実から油が取れます。
extraordinary,異常な,形容詞,The clumsy man envied her extraordinary talent.,その不器用な男は彼女の非凡な才能を羨んだ。
facility,施設,名詞,Meg has a facility for languages.,メグは語学の才能がある。
factor,要因,名詞,What factor contributed to the reaction?,どんな要素がその反応に貢献したのか。
factory,工場,名詞,Our factory needs a lot of machinery.,我々の工場にはたくさんの機械が必要だ。
fade,しぼむ；色あせる,動詞,Flowers soon fade when they have been cut.,花は切られるとすぐにしぼむ。
failure,失敗；落第；不足,名詞,Don't set your failure down to bad luck.,君は失敗を不運のせいにしてはいけない。
false,うその,限定詞,I have false nearsightedness.,仮性近視です。
federal,連邦,形容詞,Please send this by Federal Express.,これをフェデラル・エクスプレスで送ってください。
fee,料金,名詞,"Of course, neither goods nor mailing fee returned.",もちろん品も、そして郵送料すらも返ってこなかった。
festival,祭り,名詞,They helped one another to make the school festival a success.,学園祭を成功させるために彼らは互いに助け合った。
fiction,架空；フィクション,名詞,The fiction reduced girls to tears.,その小説を読んで少女達は涙を流した。
filter,ろ過器；フィルター，ろ過する；フィルターにかける,名詞,This store uses a water filter.,当店の水は浄水器を使用しています。
flexible,柔軟な,形容詞,You must be flexible in your thinking.,考え方は柔軟でなければならない。
focus,焦点,名詞,The environment was the focus of student council activities.,環境問題が私たちの学生評議会活動の中心だった。
forecast,予報,名詞,Unexpectedly the weather forecast came true yesterday.,意外にも、昨日は天気予報があたった。
formal,正装の,形容詞,I utterly despise formal writing!,堅い書き物は大嫌いだ。
format,体裁；形式,名詞,You mustn't format this floppy disk.,このフロッピーをフォーマットしてはいけません。
formation,形成,名詞,You should not format this diskette.,このフロッピーをフォーマットしてはいけません。
former,前の，前者,限定詞,Kyoto was the former capital of Japan.,京都は以前日本の首都でした。
formula,方法,名詞,"First of all, learn the formula by heart.",まずは公式を暗記しなさい。
foundation,土台,名詞,Students have a holiday on Foundation Day.,学生は創立記念日で休みだ。
fragment,破片,名詞,The vase burst into fragments.,花瓶は粉々に砕けた。
framework,構成；構想,名詞,The framework of the new building is progressively appearing.,新しい建物の骨組みが徐々に姿を見せてきている。
frequency,頻度,名詞,The recent frequency of earthquakes makes us nervous.,近頃は地震が頻繁で不気味だ。
frequent,頻繁な,形容詞,The teacher was worried by Tom's frequent absence from class.,教師はトムのたび重なる欠席を心配した。
frequently,頻繁に,副詞,"In music or speaking, a pause is frequently used for dramatic effect.",音楽でも演説でも、間合いはすばらしい効果をあげるものとしてしばしば利用される。
fuel,燃料,名詞,Don't shout at the crying child. It only adds fuel to the fire.,泣いている子を怒鳴るな。火に油だから。
fulfill,満たす；果たす,動詞,Try to fulfill your duty.,義務を果たすように努力しなさい。
function,機能,名詞,Some English adverbs function as adjectives.,英語の副詞の中には形容詞の役目をするものがある。
functional,機能的な,形容詞,Is this engine functional?,このエンジンは動くのですか。
fundamental,基本的な,形容詞,There is a fundamental difference between your opinion and mine.,君と私の意見には基本的な違いがある。
furthermore,さらに,副詞,"They rob, and furthermore cheat each other.",彼らは互いに盗み合いをする、だまし合うくらいは、なおさらのことだ。
gallery,画廊,名詞,The New York Times reviews her gallery all the time.,ニューヨークタイムズは彼女のギャラリーにいつも取材にくるんだから。
gap,すきま；相違,名詞,The cat went through a gap in the fence.,ネコはへいの割れ目を通り抜けた。
gaze,凝視,名詞,Her cool gaze made my heart skip a beat.,彼女のクールな視線に、俺はドキッとした。
gender,性別,名詞,She wrote on gender bias in science.,彼女は科学における性的偏見について書いた。
gene,遺伝子,名詞,A great many people were opposed to gene therapy in terms of ethics.,たくさんの人々が倫理の面から遺伝子治療に反対した。
generate,生み出す,動詞,Nuclear power is used to generate electricity.,原子力が発電に使われている。
genetic,遺伝の,形容詞,There seems to be some genetic problem with this animal.,この動物には何か遺伝的な問題があるようだ。
genuine,本物の,形容詞,For years the picture passed as a genuine Rembrandt.,何年もの間その絵は本物のレンブラントとして通用していた。
gesture,身振り；ジェスチャー,名詞,The gesture fetched a laugh from the audience.,そのしぐさで観客は笑い出した。
global,世界的な,形容詞,We must look at the problem from a global point of view.,我々はその問題を世界的視野で見なければならない。
gradually,徐々に,副詞,The balloon descended gradually as the air came out.,空気が抜けるにつれて風船は徐々に降りてきた。
graduate,卒業する，卒業生，大学院の,形容詞,When did you graduate from Oxford?,オックスフォードをいつ卒業したか。
grain,粒；穀物,名詞,Rye was called the grain of poverty.,ライ麦は貧困の穀物と称されていた。
grateful,感謝している,形容詞,I am very grateful to you for your help.,私はあなたが手伝ってくれたことを感謝しています。
greet,挨拶する；出迎える,動詞,"When the visitor entered the room, we stood to greet him.",客が入室してきた時、私達は立ちあがってあいさつをした。
guideline,指針,名詞,Please follow the guidelines.,ガイドラインに従ってください。
guitar,ギター,名詞,"You play the guitar quite like a professional, don't you?",君にギターは本調子だね。
harbor,港,名詞,The harbor is closed to navigation.,その港は船の航行が止められている。
hence,それ故,副詞,"Hence, I shall have to stay here.",それゆえここにとどまらざるを得ないだろう。
highlight,見所；ハイライト，強調する,名詞,Read the highlighted line out loud.,マーカー部分を声に出して読みなさい。
hint,ほのめかす，ヒント,動詞,There was a hint of fall in the air.,秋の気配が感じられた。
host,主人，開催する,名詞,My host family often advises me.,ホストファミリーはよく助言してくれます。
household,家庭 ; 世帯,名詞,More and more married couples share household chores.,家事を分担する夫婦がますますふえています。
humor,ユーモア,名詞,Your sense of humor is beginning to exert itself.,君のユーモアのセンスが働き始めている。
hypothesis,仮説,名詞 ,The hypothesis is based on the thorough experiments.,その仮説は徹底的な実験に基づいている。
immigrant,移民,名詞,Immigrants streamed into the land.,移民は流れを成してその国に入った。
implement,実行する,名詞,These implements are in common use.,これらの道具は一般に用いられている。
implementation,履行；実施,名詞,These implements are in common use.,これらの道具は一般に用いられている。
implication,含意,名詞,What was the implication of his remark?,彼の発言は含みとして何を言いたかったのですか。
imply,暗に意味する,動詞,Are you implying something?,何か意味があるのですか。
import,輸入する，輸入,動詞,Proponents of increased import duties are at odds with each other.,関税引き上げの提案国はお互いに反目しています。
importance,重要性,名詞,"Despite the importance of sleep, its purpose is a mystery.",睡眠は重要であるにもかかわらず、その役割は謎である。
impose,課す；強いる,動詞,The U. N. moved to impose sanctions.,国連は制裁を加えるために動き出しました。
impression,印象,名詞,Mr. Satoyama's work made a big impression in the world of haiku.,サトヤマ先生の作品が俳壇に強烈なパンチを与えた。
incentive,刺激；動因,名詞,We lack an incentive for pursuing the eastern market.,我々は東部市場を開拓しようと言う気持ちが欠けている。
incident,事件,名詞,This was third school shooting incident in six months.,学校での銃乱射事件はこの半年で３回目だ。
incorporate,合併する；組み込む；法人組織化する,動詞,Her business was incorporated.,彼女の事業は会社の組織になった。
independence,独立,名詞,The colony declared independence and became a republic.,その植民地は独立を宣言し、共和国となった。
independent,独立した,形容詞,Certainly he is independent of him.,確かに彼は両親から独立している。
index,索引；目録；指針,名詞,The stock price index was off 200 points yesterday.,株価指数は昨日２００ポイント下げた。
infant,幼児,名詞,The infant has been exposed to radioactive rays.,その幼児は放射線にさらされていた。
infection,感染症,名詞,I had a bladder infection last month.,先月膀胱炎にかかりました。
inflation,インフレーション ；膨張,名詞,The inflation issue split the party.,インフレ問題が党を分裂させた。
initial,最初の，頭文字,形容詞,The initial symptoms of the disease are fever and sore throat.,その病気の初期症状は高熱とのどの痛みです。
initially,初めは,副詞,How did you meet Tom initially?,トムとはどうやって知り合ったの？
initiative,構想；戦略,名詞,The city took the initiative in the pollution suit.,市当局は公害訴訟で主導権をとった。
innovation,革新,名詞,A company that stifles innovation can't hope to grow very much.,出る杭が打たれる会社じゃ、大きな成長は望めないね。
input,入力；インプット,動詞,Please input your PIN number.,暗証番号を押してください。
inquiry,問い合わせ；質問；調査,名詞,We have just received an inquiry from Kansas concerning your brother.,ご兄弟のことはカンザス州から問い合わせを受けたばかりです。
insight,洞察,名詞,This poem calls for great insight from the reader.,この詩は読者の大いなる洞察を必要としている。
inspire,刺激を与える；触発する,動詞,Asian religions inspire him to create splendid sculptures.,アジアの宗教から閃きを得て、彼は複数の素晴らしい彫刻を生み出した。
install,導入する；設置する；インストールする,動詞,The man tried to install his own antenna.,その男はアンテナを取り付けようとした。
institution,機関; 施設,名詞,The institution must be protected.,その習慣は守らなくてはならない。
institutional,制度の,形容詞,The institution must be protected.,その習慣は守らなくてはならない。
integrate,統合する,動詞,school is an integrated junior high and high school.,その学校は、中・高一貫校だ
intellectual,知的な,名詞,Chess is a highly intellectual game.,チェスはとても知的なゲームです。
intelligence,知能,名詞,This boy's intelligence is above average.,この子の知能は平均以上だ。
interaction,相互作用；交流,名詞,Then interaction with others becomes important.,そこで他人との相互作用が大切になる。
interior,内部；室内；インテリア,形容詞,The interior of the house was very attractive.,その家の内部はとても魅力的だった。
internal,内部の,形容詞,The stomach is one of the internal organs.,胃は内臓の一つである。
international,国際的な,形容詞,Our club is affiliated with an international organization.,我々のクラブは国際的な組織に加入した。
interpret,通訳する,動詞,How do you interpret these sentences?,この文章をどう解釈しますか。
interpretation,解釈,名詞,"The interpretation of this data, however, is very much in dispute.",しかしながら、これらのデータの解釈は大いに議論の対象となっている。
intervention,介入；仲裁,名詞,The teacher's intervention stopped the children's teasing.,先生の仲裁によって子どもたちのいじめはなくなった。
invent,発明する,動詞,"If God did not exist, it would be necessary to invent him.",もしも神が存在しないのならば、神を造り出す必要があろう。
invest,投資する,動詞,Our advice is that the company invest in new equipment.,会社は新しい設備に投資すべきだというのが私たちの助言です。
investment,投資,名詞,Education is an investment in the future.,教育は未来への投資である。
investor,投資家,名詞,The big investor bought up the stocks.,大投資かは株を買い占めた。
isolate,隔離する；孤立させる,動詞,I felt isolated.,私は孤独を感じた。
jail,刑務所,名詞,The judge sentenced him to a jail term of five years.,裁判官は彼に五年の懲役刑を宣告した。
joint,継ぎ目,名詞,They came to terms with each other on how to start a joint venture.,共同事業の始め方について彼らは互いに話し合いがついた。
journal,新聞；雑誌；定期刊行物,名詞,This technical journal is above me.,この専門紙は私には理解できない。
journalist,ジャーナリスト,名詞,The journalist was too upset to distinguish vice from virtue.,記者はひどく狼狽していたので善悪の区別ができなかった。
jury,陪審；審査員,名詞,The jury were asked to allow for the age of the accused.,陪審員たちは被告の年齢を考慮するよう求められた。
justify,正当化する,動詞,Can you justify the use of violence?,君は暴力行使を正当化することができますか。
label,ラベル，ラベルをつける；名前をつける,名詞,Attach this label to your package.,荷物にこの荷札を付けてください。
landscape,風景,名詞,Survey the landscape below.,眼下の景色を見る。
latter,後の，後者,限定詞,The latter half of the drama was a little dull.,その芝居の後半は少し退屈だった。
laughter,笑い,名詞,The boy was not humiliated by the laughter of his classmates.,その子は級友たちに笑われても動じなかった。
launch,始める；発射する,動詞,The general decided to launch an offensive against the enemy camp.,大将は敵陣に攻撃をかける決断を下した。
layer,層,名詞,We should do more to protect the ozone layer from further damage.,オゾン層をこれ以上の破壊から守るために私たちはもっと多くのことをすべきだ。
leather,革；革製品,名詞,Good leather will wear for years.,良い革は何年ももつ。
lecture,講演する，講演,名詞,The professor gave a lecture on the Middle East.,教授は中東問題について講義をした。
legislation,法律制定,名詞,Existing legislation does not take diversity of races into account.,現行の法律は人種の多様性を考慮していない。
liability,責任；負債,名詞,liablity claim,賠償請求
liberal,自由主義の,形容詞,Mr. White is a liberal politician.,ホワイト氏は進歩的な政治家だ。
link,つなぐ；連結する，輪,動詞,Is there a link between smoking and lung cancer?,喫煙と肺ガンには関連があるのでしょうか？
liquid,液体,名詞,The hair-dressing liquid gave off a strong smell.,その整髪料は強いにおいを発した。
literally,文字通り,副詞,The poor dog was literally torn apart by the lion.,かわいそうにその犬は文字通りライオンに引き裂かれてしまった。
literary,文学の,形容詞,A criticism of literary works this year is in the paper.,新聞に今年の文学作品に対する論評が載っている。
literature,文学；文献,名詞,I am not as interested in literature as you.,私は君ほど文学に興味はない。
logic,論理,名詞,"Above all, logic requires precise definitions.",とりわけ、論理学には正確な定義が要求される。
luxury,豪華さ；贅沢品,名詞,Taking a taxi is a luxury for me.,タクシーに乗るのは私には贅沢だ。
majority,大多数,名詞,The bill passed by a small majority of 10 votes.,議案は１０票の小差で通過した。
manufacture,製造，製造する,動詞,You'll have to manufacture some kind of excuse.,君はなんらかの口実をつくらなければならない。
manufacturer,製造業者；メーカー,名詞,The manufacturer of the medicine is a Japanese company.,その薬を作っているのは日本の企業である。
margin,余白；縁；限界；利益,名詞,We left a margin for error in our estimates.,我々は誤差を見込んで余裕をとっておいた。
mature,成熟した,形容詞,"After mature reflection, I've decided to accept their offer.",よく考えた後で彼らの申し出に応じることにした。
